State,CD_Ratio_2021,CD_Ratio_2023,CD_Ratio_2025,Total_MSMEs_Lakh,Micro_Pct,Women_MSME_Pct,Trading_Pct,Bank_Branches_Per_Lakh,Internet_Penetration_Pct,UPI_Adoption_Index,GST_Compliance_Pct,GST_Density,Ecomm_Integration_Pct,Formal_Credit_Access_Pct,Credit_Gap_Pct,NPA_Proxy_Pct,GSDP_Per_Capita_Index,Literacy_Rate,Urban_Pct,Region,CD_Ratio_Change_5Y,MSME_Density,Credit_Invisible_MSMEs_Lakh,Digital_Footprint_Score,Banking_Access_Score,Formalization_Score,Business_Resilience_Score,Credit_Momentum_Score,Predicted_Credit_Access_Pct,Credit_Invisibility_Score,Actual_Credit_Gap,Model_vs_Actual_Gap,Risk_Tier,Alt_Credit_Invisible_Lakh
West Bengal,49.2,50.7,54.3,32.1,99.3,44.7,53.8,11.4,54.8,62.4,82.4,986.4,18.4,22.4,28.4,9.4,102.4,77.1,31.9,East,5.099999999999994,31.34765625,24.9096,40.54106656286492,26.478344073326994,47.90482206941488,30.50198635813132,37.630996826005116,22.360306,77.6,77.6,-0.0,High,24.91
Chhattisgarh,66.8,76.4,83.2,6.7,99.4,41.2,47.6,10.6,48.6,52.4,78.6,824.6,12.4,14.8,30.4,10.2,98.6,71.0,23.2,Central,16.400000000000006,6.7951318458417855,5.7084,24.649669131957957,43.411499588682375,31.222519485884618,22.010109952517908,42.13189618152978,14.81697,85.2,85.2,-0.0,Critical,5.71
Madhya Pradesh,70.7,75.2,81.7,18.9,99.2,38.9,46.2,11.8,52.4,58.4,80.4,924.8,14.6,16.4,28.6,9.8,84.2,70.6,27.6,Central,11.0,22.44655581947743,15.8004,31.29622421175555,45.63317695491425,33.638881000050105,21.935156996845535,42.77598934689047,16.447289,83.6,83.6,-0.0,Critical,15.8
Uttarakhand,36.7,38.5,43.5,4.2,99.3,37.6,42.3,13.4,56.8,58.6,82.8,824.6,14.2,16.8,26.8,8.6,124.8,79.6,30.6,Central,6.799999999999997,3.3653846153846154,3.4944,31.39353834176722,22.675783516773336,48.46506386361955,30.015772257644485,67.72795729700238,16.807573,83.2,83.2,-0.0,Critical,3.49
Uttar Pradesh,44.2,48.8,54.0,49.9,99.5,40.1,50.9,9.2,46.2,52.4,78.2,924.8,12.8,14.2,32.6,11.2,68.4,67.7,22.3,Central,9.799999999999995,72.953216374269,42.8142,25.291942390035025,19.43428417705094,27.296795711687878,15.068587944851757,45.53127072571078,14.214393,85.8,85.8,0.0,Critical,42.81
Dadra & Nagar Haveli,52.4,52.6,52.1,0.4,99.2,35.4,44.8,18.4,62.4,62.4,82.4,1024.8,16.4,18.4,22.8,7.6,248.6,77.6,46.6,West,-0.2999999999999971,0.1609010458567981,0.3264,36.648501362397816,36.765884391665395,50.0308128609106,52.3492738917744,9.493227795828489,18.441147,81.6,81.6,-0.0,Critical,0.33
Goa,25.8,26.5,28.6,1.8,98.8,34.8,41.2,42.8,72.8,72.6,88.6,1482.6,22.8,28.4,18.4,5.4,386.4,88.7,62.2,West,2.8000000000000007,0.4658385093167702,1.2888,54.194239003503306,40.70664970322204,81.88351041077561,71.01005699599028,59.344529799112934,28.39014,71.6,71.6,-0.0,High,1.29
Gujarat,79.5,80.6,88.4,30.3,99.0,36.9,42.6,14.6,66.4,74.8,90.4,1624.8,24.6,26.8,18.8,5.8,198.6,82.4,42.6,West,8.900000000000006,15.256797583081571,22.1796,58.952899961074344,58.932028119386345,71.24864621557185,46.27862626589038,65.43417131162664,26.796778,73.2,73.2,-0.0,High,22.18
Maharashtra,79.2,85.0,85.7,72.7,98.6,34.2,46.3,15.2,72.6,82.4,92.6,1842.6,32.4,32.6,16.4,6.2,242.8,84.8,45.2,West,6.5,29.94233937397035,48.9998,77.10198520825222,59.79044809347589,79.88505156497706,50.45948192772116,23.78050509318416,32.70081,67.3,67.4,-0.1,High,48.93
Andhra Pradesh,135.2,149.2,157.2,25.6,99.1,42.6,43.4,14.8,58.6,66.4,84.6,1124.8,18.6,22.4,24.8,8.2,128.4,67.4,29.6,South,22.0,19.937694704049846,19.8656,42.84741144414169,99.99999999999999,32.29775529878799,31.604379467571874,35.20637073081366,22.35762,77.6,77.6,-0.0,High,19.87
Karnataka,63.2,69.2,72.6,33.8,98.9,38.4,40.8,16.4,68.4,78.6,91.8,1624.8,28.4,28.8,18.2,6.4,198.6,77.2,38.6,South,9.399999999999991,17.019133937562938,24.0656,67.93499416115219,50.76788830460622,61.14094778724444,43.82608690721287,41.28914092632999,28.739601,71.3,71.2,0.1,High,24.1
Kerala,64.0,67.6,70.8,18.7,99.2,44.9,44.2,19.2,72.8,76.4,88.4,1426.8,22.6,24.6,20.4,7.2,186.8,94.0,47.7,South,6.799999999999997,10.01070663811563,14.0998,54.84624367458155,54.03829454399347,90.65346253561057,52.15944617116773,36.879907991029995,24.641573,75.4,75.4,0.0,High,14.1
Lakshadweep,7.9,10.3,12.7,0.1,99.8,46.8,42.6,28.6,56.8,52.6,68.4,286.4,4.6,8.4,48.4,18.4,248.6,92.3,43.5,South,4.799999999999999,0.0402252614641995,0.0916,6.052938886726359,16.225664557984118,46.73277600690261,54.31130537871641,70.04138769197016,8.558222,91.4,91.6,-0.2,Critical,0.09
Puducherry,67.2,69.2,74.6,0.9,98.7,39.7,38.9,32.4,68.4,74.8,86.4,1624.8,24.8,28.6,16.8,5.8,248.4,86.5,65.2,South,7.399999999999991,0.3623188405797101,0.6426,57.97975866095755,65.91237567534871,79.9690134870699,67.9948203054216,56.99913090630446,28.585747,71.4,71.4,0.0,High,0.64
Tamil Nadu,103.8,109.4,120.5,41.6,99.0,41.3,42.1,16.8,68.6,78.4,90.2,1726.4,26.4,26.4,18.6,6.8,164.8,80.3,48.4,South,16.700000000000003,25.24271844660194,30.6176,63.43908135461269,84.95259599373917,68.57512311633491,49.31275596282646,63.04327883706753,26.426434,73.6,73.6,-0.0,High,30.62
Telangana,99.3,111.9,120.5,19.4,98.8,40.2,44.6,18.6,64.2,76.2,88.8,1524.8,24.8,26.8,18.4,6.4,212.6,72.8,39.2,South,21.200000000000003,9.125117591721542,14.2008,59.20591669910471,85.59168828970694,51.05998033266525,46.05521855166455,53.76710832250399,26.788721,73.2,73.2,-0.0,High,14.2
